My statement on my mother's passing and my COVID-19 positivity. https://t.co/q2czr3TiEQ,2020-11-26 02:13:07,Twitter Web App,87,1140,covid; 
We need to make sure kids and students still have access to education even though they can’t be in the classroom during #COVID19.   The relief package includes $30 billion for grants to provide emergency support to local school systems and higher ed institutions.,2020-03-26 21:40:00,TweetDeck,1,9,covid; 
Thank you @SenCortezMasto &amp; @SenJackyRosen for working with the entire Nevada delegation to improve the #COVID19 relief package and make sure that Nevada families aren’t left behind.,2020-03-26 20:49:35,TweetDeck,0,5,covid; 
The initial Senate proposal last weekend didn't include direct assistance to state &amp; local governments which isn't acceptable for states getting hit especially hard by #COVID19.  The final deal now includes direct assistance to states to help close the gap in lost tax revenue.,2020-03-26 20:48:58,TweetDeck,1,6,covid; 
The Senate #COVID19 relief package isn’t perfect. But health care workers working families and small businesses need more relief as soon as possible.  I fully support passage of the bill in the House tomorrow.,2020-03-26 20:14:32,TweetDeck,7,20,covid; 
The #coronavirus outbreak is putting a strain on our seniors more than almost any other group of Americans. We're asking them to vigilantly self-isolate to protect themselves which makes the dozens of critical programs funded by the Older Americans Act more important than ever.,2020-03-25 22:02:01,Twitter for iPhone,1,5,corona; 
For all Americans receiving Social Security benefits @SocialSecurity has helpful resources to answer all your #COVID19 questions. Bottom line you should still be receiving your monthly benefits.   Check out their FAQs and resources here: https://t.co/gKKzomzyww,2020-03-25 18:01:12,Twitter for iPhone,6,7,covid; 
#ICYMI: The tax filing deadline has been extended to July 15 2020. @IRSnews just went live with their website with #COVID19 FAQs and resources that you can check out here: https://t.co/rDkRAXFCof https://t.co/qaLkw0L2TM,2020-03-25 17:21:39,TweetDeck,1,1,covid; 
Check out my website for up-to-date #COVID19 information resources and best practices including:   ✅Health resources ✅Financial assistance  ✅Food services ✅Small business resources  ✅Consumer protection etc  https://t.co/XT5tUN1eLB,2020-03-25 01:00:00,TweetDeck,5,8,covid; 
Congress has passed two relief packages and is working on a third to expand unemployment benefits and financial assistance but there are still important ways to protect yourself financially during the #coronavirus pandemic. Advice from @CFBP: https://t.co/zohIZ5738Z,2020-03-24 22:39:56,Twitter for iPhone,2,5,corona; 
Be very wary of payday lenders looking to take advantage of working Americans during the #COVID19 outbreak with skyhigh interest rates and aggressive tactics.  https://t.co/1JXANGCXJW,2020-03-24 22:30:00,TweetDeck,27,21,covid; 
#COVID19 is hurting our student veterans.  Because of the outbreak many are losing out on important benefits and resources including:  Finite GI BIll benefits Work study opportunities Housing Allowances  This bill makes sure our student vets still get the benefits they earned. https://t.co/wxigERm3ez,2020-03-24 00:36:14,Twitter for iPhone,1,5,covid; 
Things that help stop the spread of #COVID19: ✅Washing your hands ✅Social distancing  Things that don’t help: ❌racism https://t.co/Q15fahxJU9,2020-03-23 23:15:00,TweetDeck,13,28,covid; 
Hey all you social distancers! I’ve got a great at-home activity for you to do:      👇👇👇👇👇👇 👉https://t.co/T31NA8EXX7👈     👆👆👆👆👆👆,2020-03-23 21:18:44,Twitter for iPhone,64,140,social distance; 
If you have any questions about #COVID19 take a look at my website’s #COVID19 resource page for help and also for contact information for important services like financial assistance food bank locations health tips and more: https://t.co/KqATJABQit,2020-03-21 23:00:00,TweetDeck,2,3,covid; 
Community health centers are at the frontlines of the #COVID19 crisis especially for low-income Americans.   We’re calling on congressional leadership to ensure our CHC’s get the emergency funding they need to service our communities. https://t.co/dkzNdW8ydn,2020-03-21 22:15:00,TweetDeck,5,8,covid; 
#COVID19 can be especially dire for millions of Americans with #Alzheimers who rely on caregivers and family members for help.  If you or a loved one with Alzheimers needs help call the @alzassociation 24/7 hotline at 800-272-3900 or visit https://t.co/v3RiAnvmP2,2020-03-21 20:32:00,TweetDeck,6,8,covid; 
My second #COVID19 #teletownhall just wrapped up.  Thank you to everyone for pitching in to keep us safe. We’ll make it through this. https://t.co/2prQ93DSW1,2020-03-21 18:29:10,Twitter for iPhone,5,22,covid; 
My #COVID19 tele-town hall is at 10:00AM today!  I’ll be on with @NVTreasurer @zconine @SuptJaraCCSD @SNHDinfo Dr. Fermin Leguen @JustinJonesNV @UNLV Dr. Brian Labus to answer all of your questions. Dial in! 866-785-1549 https://t.co/kScXRZgUSl,2020-03-21 16:07:44,Twitter for iPhone,5,11,covid; 
I with the entire Nevada delegation am urging mortgage industry leaders to provide relief for homeowners impacted by #COVID19.   These are the measures we need right now to take to protect our families and our economy. https://t.co/DRrUKTob5a,2020-03-21 00:30:00,TweetDeck,5,13,covid; 
🚨ATTN Students and Student Loan Borrowers🚨  @usedgov released new #COVID19 guidance for:  ⚬ Financial aid programs ⚬ Work study programs ⚬ Loan period dates ⚬ Return of Title IV funds  Read more here⬇️ https://t.co/2SgS765Edx,2020-03-20 22:30:00,TweetDeck,6,4,covid; 
Check out my website for up-to-date #COVID19 information resources and best practices including:   ✅Health resources ✅Financial assistance  ✅Food services ✅Small business resources  ✅Consumer protection etc  https://t.co/iaCuNKEhAN https://t.co/UJj7uwVRxA,2020-03-20 21:45:00,TweetDeck,1,2,covid; 
As we’re discussing how to stay healthy during #COVID19 don’t forget about your mental health. Some self-care activities:  ✅Take breaks from the news ✅Take care of your body - stretch meditate eat well ✅Connect with friends &amp; family ✅Make time for hobbies  #selfcarematters,2020-03-20 19:50:53,TweetDeck,5,7,covid; 
ATTN #NV03 I’m hosting my second #COVID19 #teletownhall of the week this Saturday March 21st. Call in to ask questions hear from public health experts and state officials and get up-to-date information on the #coronavirus pandemic. https://t.co/s6jWh2f8CZ,2020-03-20 01:00:00,TweetDeck,12,16,covid; corona; 
Thanks again to all my constituents who dialed in for my #COVID19 #teletownhall this week. I know there were some questions we couldn’t get to but I’ll be holding another tele-town hall this Saturday with public health experts to answer your questions! https://t.co/s6jWh2wK1z,2020-03-19 21:23:00,TweetDeck,0,9,covid; 
1000s of student veterans rely on campus housing but now that schools are closed due to #COVID19 their housing vouchers were at risk of being cut.  Congress passed a bill this morning to protect their housing benefits &amp; make sure they have a roof over their heads. https://t.co/LzVFDHtP0J,2020-03-19 18:26:29,TweetDeck,8,17,covid; 
Check out my website for up-to-date #COVID19 information resources and best practices including:   ✅Health resources ✅Financial assistance  ✅School info  ✅Small business resources  ✅Consumer protection etc  Follow the link⬇️ https://t.co/TExyhWRHkj https://t.co/JywHNhg56y,2020-03-19 13:36:22,TweetDeck,4,6,covid; 
Sign up for @CDCgov’s weekly email with updates best practices and important information regarding the #COVID19 pandemic. ⬇️⬇️ https://t.co/JSOInOgmgn,2020-03-19 01:00:00,TweetDeck,5,4,covid; 
#COVID19 is hitting our travel and tourism industry hard. We need to support Nevada's top industry and the tens of thousands of workers uncertain about what’s next.   The entire Nevada delegation sent a letter to leadership to prioritize assistance for our workers &amp; businesses. https://t.co/oudF6CDtT6,2020-03-18 23:47:22,Twitter for iPhone,19,30,covid; 
Read here about what older Americans need to know about #COVID19 and what steps and precautions we should ALL be taking to protect the safety of the most at-risk Americans. https://t.co/i0TiwaPh7I,2020-03-18 22:30:00,TweetDeck,2,1,covid; 
It's about time. Thank you to all my Senate colleagues who voted to provide:  ✅free testing ✅food assistance ✅paid &amp; family leave ✅small business protections ✅health care worker protections  And remember this isn't the end of the road for Congressional action on #COVID19. https://t.co/SG05kBOvF5,2020-03-18 20:42:13,TweetDeck,10,39,covid; 
My #teletownhall last night made it clearer than ever that  #COVID19 is going to test us as a community but we'll get through it by sticking together &amp; holding each other accountable.   And that starts with Congress. #FamiliesFirst https://t.co/jOEBHoFpDQ,2020-03-18 20:15:59,Twitter for iPhone,17,34,covid; 
Please follow up-to-date @CDCgov #COVID19 guidelines. #FlattenTheCurve https://t.co/JCqdcymFZ3,2020-03-18 02:00:00,TweetDeck,6,8,covid; 
Thank you to everyone who dialed in for my #COVID19 #teletownhall tonight.   And thank you to @SuptJaraCCSD @SNHDinfo @debra_march and @MichaelNaft for helping answer questions and giving Nevadans the most up-to-date information on this pandemic. https://t.co/z0mjJ6iwm7,2020-03-18 01:47:23,Twitter for iPhone,5,16,covid; 
Very helpful resources for artists of all disciplines during the #COVID19 pandemic. https://t.co/0m0isfI0Ku,2020-03-18 00:00:00,TweetDeck,3,2,covid; 
ATTN #NV03 I’m hosting a public health #teletownhall tonight at 5:30pm PST with @SNHDinfo’s Dr. Leguen and other officials. Call in to ask questions and get up-to-date information on the #coronavirus pandemic. https://t.co/vRtHzS6V1n https://t.co/GPdl6koZ6O,2020-03-17 21:00:01,TweetDeck,6,7,corona; 
.@SBAgov has declared @ClarkCountyNV and several other Nevada counties eligible for #Covid_19 disaster loan assistance.   If you’re a small business you may be eligible for disaster loan assistance.   Spread the word and help out our small businesses! https://t.co/8dNCC8DJqG,2020-03-17 20:32:34,Twitter for iPhone,29,51,covid; 
The VA services over 9 million veterans many of whom are &gt;65. 3000 tests on hand definitely doesn’t feel like enough.  We need to pass the #FamiliesFirst Coronavirus Response Act to get free testing for everyone who needs it. https://t.co/IYF9y35qYm,2020-03-17 20:00:00,TweetDeck,3,2,corona; 
To all veterans concerned about #COVID19:  Before visiting local VA facilities community providers or medical centers feel encouraged to call your VA medical facility or call MyVA311 (844-698-2311) to get advice on what you should do next. https://t.co/oYgx3yrfK6,2020-03-17 19:30:00,TweetDeck,2,0,covid; 
The time for waiting is over. The Senate needs to pass the #FamiliesFirst Coronavirus Response Act.   We need to act quickly and not let partisanship get in the way.  https://t.co/aUHGNoqyKf,2020-03-17 18:35:46,TweetDeck,6,23,corona; 
I’m hosting a public health #teletownhall tonight at 5:30PST. I’ll be joined by @SNHDinfo’s Dr. Leguen and other public officials to answer your questions and give you the most up-to-date information on #COVID19. RSVP/Details⬇️ https://t.co/vRtHzRPk9P https://t.co/QjszKJoror,2020-03-17 16:31:02,TweetDeck,8,9,covid; 
📣Hey #NV03📣I'm hosting a #teletownhall tomorrow with @SNHDinfo Acting Chief Health Officer Dr. Leguen and local officials to answer all your questions about #COVID19 &amp; provide the most up-to-date information surrounding the pandemic in NV. RSVP/Details⬇️ https://t.co/vRtHzRPk9P https://t.co/wHmOVLJihp,2020-03-17 00:35:48,TweetDeck,21,26,covid; 
Follow @SNHDinfo for up-to-date information on #COVID19 in southern Nevada: https://t.co/IP2gRcxzMK,2020-03-16 20:00:00,TweetDeck,2,1,covid; 
If you or your business has been affected by #COVID19 you may be eligible for #Coronavirus tax relief from the IRS. Get more details here⬇️⬇️ https://t.co/Z1lvgT5ELh,2020-03-16 19:20:00,TweetDeck,11,11,covid; corona; 
The #2020Census is incredibly important and with the need to self-isolate during #COVID19 we’re going to need to work even harder--and get creative--to ensure that every American is counted.   My colleagues &amp; I sent this letter to @SecretaryRoss outlining what we need to do: https://t.co/OJIJd0y1sp,2020-03-16 18:40:00,TweetDeck,5,4,covid; 
🚨ATTN Nevadans🚨Follow @NVHealthRespon1 and visit https://t.co/NuQfUriE31 for up-to-date information on #COVID19 in Nevada. https://t.co/CQAIke75ZV,2020-03-16 18:09:08,TweetDeck,1,1,covid; 
#COVID19 not only threatens our health but it threatens the basic services we all rely on like free and reduced school meals for millions of K-12 students  This is exactly why we need to enact the #FamiliesFirst Coronavirus Response Act. https://t.co/pXXbilufvH,2020-03-16 17:53:50,Twitter for iPhone,4,22,covid; corona; 
The House passed the #FamiliesFirst #Coronavirus Response Act last week. It’s Monday &amp; we’re still waiting on Mitch McConnell to act. We need to give Americans relief:  ✅Free testing ✅Paid &amp; family leave ✅Health care worker protections ✅Food assistance https://t.co/s44JtxHLRM,2020-03-16 17:21:19,Twitter for iPhone,127,280,corona; 
If you’re a veteran it’s important to know what to do if you're exposed or start to feel symptoms of #COVID19. @DeptVetAffairs has launched their public health website about #coronavirus resources and services they provide.  Take a look ⬇️ and stay safe!  https://t.co/HWJrAA6RlV,2020-03-16 16:15:03,TweetDeck,45,56,covid; corona; 
Follow @SNHDinfo’s tips below on how to prevent the spread of #COVIDー19. https://t.co/RwIvA5dtAG,2020-03-16 00:39:53,Twitter for iPhone,2,4,covid; 
Looking for up-to-date information on #COVID19? Take a look at this resource from @CDCgov: https://t.co/9QPJSMR4o2,2020-03-15 21:46:49,Twitter for iPhone,1,0,covid; 
The House passed our bill the Emergency Family and Medical Leave Expansion Act as part of the #FamiliesFirst Coronavirus Response Act to make sure working Americans don’t lose their job for responsibly staying home when sick during #COVIDー19.  https://t.co/ussDwanzcU,2020-03-15 17:19:07,Twitter for iPhone,2,8,covid; corona; 
Remember if you have #COVID19 symptoms contact your doctor or health care provider FIRST.   Our health care facilities are going to be at full capacity in the coming weeks &amp; the sickest/highest risk individuals need attention first. We need to be collectively mindful of that. https://t.co/UzUDX1tVav,2020-03-15 01:09:23,Twitter for iPhone,10,15,covid; 
.@SBAgov is working with states to provide low-interest loans to small businesses and nonprofits impacted by #COVID19. For small businesses in #NV03 learn more here⬇️ https://t.co/Ee25TfbzLI,2020-03-14 19:40:28,Twitter for iPhone,6,4,covid; 
Doctors nurses caregivers business owners senior citizens and millions of working families need help right now in the wake of the #COVID19 pandemic.   The House took action yesterday and passed billions more in relief. #FamiliesFirst   https://t.co/ugNm8vAM4e,2020-03-14 17:01:57,Twitter for iPhone,11,55,covid; 
The House just passed the #FamiliesFirst Coronavirus Response Act to give millions of Americans the relief they need to get through the #COVID19 pandemic.   ✅Free testing  ✅Food assistance  ✅Paid &amp; family leave  ✅health care worker protections   The fight’s not over.,2020-03-14 04:53:53,Twitter for iPhone,25,120,covid; corona; 
As we’re staring down the #COVID19 pandemic there’s no time for petty politics. There’s only time for action.   The American people are counting on us to put #FamiliesFirst. https://t.co/s44JtxHLRM,2020-03-14 04:21:14,Twitter for iPhone,68,269,covid; 
I’m voting for the #FamiliesFirst Coronavirus Response Act for:  ✅health care workers ✅Senior citizens ✅Working families ✅Small business owners ✅Every last American counting on us to provide the relief they need.   RT if you think every member of Congress should do the same.,2020-03-13 22:35:29,TweetDeck,64,148,corona; 
Listen to Ms. Goff. Use your cough pocket. #COVID19 https://t.co/S9W2IxWDlT,2020-03-13 17:30:00,TweetDeck,3,11,covid; 
No working American should lose their job for doing the responsible thing and staying home when sick during the #COVID19 pandemic.   That’s why we introduced the Emergency Family and Medical Leave Expansion Act. https://t.co/OrmyNRgWvp,2020-03-13 17:00:01,TweetDeck,4,7,covid; 
Any questions about #COVID19? #AskCDC https://t.co/g49qT2hROx,2020-03-13 16:29:51,TweetDeck,2,3,covid; 
6/6 ... which is why my colleagues and I are introducing the Emergency Family and Medical Leave Expansion Act to ensure that no working American loses their job for staying home during the COVID-19 pandemic. @EdLaborCmte https://t.co/n3O2dIEwUi,2020-03-13 01:54:39,Twitter Web App,1,3,covid; 
2/6 We need to ensure workers that they won’t lose their jobs because they made the responsible decision to stay home to stop the spread of #COVID19. https://t.co/n3O2dIEwUi,2020-03-13 01:54:38,Twitter Web App,0,2,covid; 
Recuerda los síntomas de #COVID19 pueden aparecer entre 2 y 14 días después de ser expuesto. Por eso es tan importante si puedes ponerse en cuarentena lo más posible si has tenido contacto con alguien quien ha recibido un análisis positivo.,2020-03-12 20:03:16,Twitter Web App,2,1,covid; 
Remember #COVID19 symptoms can appear 2-14 days after exposure. That’s why it’s so important if you are able to self-quarantine as much as possible if you’ve been in contact with someone who’s tested positive. Check out https://t.co/tzpAzlcDMT @CDCgov @SNHDinfo https://t.co/eAp8CMJysG,2020-03-12 19:58:19,Twitter Web App,4,11,covid; 
FYI Nevada: If you see price gouging due to #COVID19 please call @NevadaAG at 775-684-1100. https://t.co/K1zsP6DO59,2020-03-09 18:45:43,TweetDeck,25,47,covid; 
At my #townhall this morning we walked through best practices and resources to rely on during the spread of #COVID19 but we also talked about issues that have always been on Nevadans’ minds like health care costs improving our schools student debt &amp; social security. https://t.co/5qOCmguA9w,2020-03-07 22:05:49,Twitter for iPhone,6,15,covid; 
Today I visited YuXiang Korean Chinese Restaurant in #NV03. We talked about how COVID-19 is affecting business &amp; the #AAPI community. Thanks so much for having me.  Bottom line: the best way to stop the spread of #COVID19 is to wash your hands not perpetuate racist stereotypes. https://t.co/B7fvIgQl0d,2020-03-06 22:37:41,TweetDeck,7,21,covid; 
I’ll do everything I can to support #NV03 #AAPI community businesses as they face challenges caused by misguided xenophopic ideas about #COVID19  Thank you to YuXiang Korean Chinese Restaurant for having me today and thank you to @LasVegasACC for your leadership. https://t.co/f0Bd0tfPTV,2020-03-06 22:04:47,Twitter for iPhone,25,94,covid; 
(2/2) Since this case appeared in the VA Southern Nevada Healthcare System I encourage veterans to follow any guidance public health authorities and the VA communicate. Facts sound science basic hygiene and calm are key. @CDCgov #COVID19,2020-03-05 16:31:18,Twitter for iPhone,1,12,covid; 
(1/2) The presumptively positive case of COVID-19 in southern Nevada is a reminder of how important it is to practice basic hygiene stay home or seek medical attention if you’re ill and listen to up-to-date guidance from the CDC. https://t.co/f5D9f27p8T,2020-03-05 16:31:17,Twitter for iPhone,16,27,covid; 
If we’re going to keep Americans safe we need to provide the resources for an effective coordinated and comprehensive government-wide response.   Today I helped the House pass an $8.3 billion emergency #COVID19 spending package.   And remember: wash your hands! https://t.co/1wQinOZNcF,2020-03-05 00:04:09,TweetDeck,8,40,covid; 
Today I with a bipartisan group of my colleagues met with @VP Pence to discuss the COVID-19 outbreak.  This meeting was an important step to ensure Congress &amp; the White House are on the same page and that Nevada and the entire country have the resources we need to stay safe. https://t.co/quNKcHMcpv,2020-03-03 20:33:31,TweetDeck,8,14,covid; 
Some helpful #coronavirus health reminders from @CDCgov:  ✅Avoid close contact with people who are sick. ✅Avoid touching your eyes nose &amp; mouth. ✅Stay home when you're sick. ✅Cover your cough or sneeze w/a tissue. Throw the tissue in the trash. https://t.co/OHxUIfU58q,2020-03-02 22:30:00,TweetDeck,6,3,corona; 
Thank you Governor Sisolak for sharing important details on what Nevadans can do to prevent the spread of Coronavirus. I’m working with Nevada officials at the state and federal levels to ensure that we have the resources we need to address this virus. https://t.co/nuNImx5t6R,2020-02-29 04:03:36,Twitter for iPhone,10,32,corona; 
Please do not share unverified or unsubstantiated reports or news about #coronavirus on social media. When it comes to our health there's no room for misinformation.,2020-01-30 18:48:31,TweetDeck,14,48,corona; 
